Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean Accuracy
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,0.9802197802197803
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9932208994708995,0.9604395604395606
